source_type,source_id,name,usda_fdc_id,calories,protein_g,carbs_g,fat_g,fiber_g,vitamin_a_iu,vitamin_c_mg,vitamin_k_mcg,vitamin_e_mg,folate_mcg,calcium_mg,iron_mg,magnesium_mg,potassium_mg,zinc_mg,average_yield_lbs_per_plant,average_yield_lbs_per_sqft,data_source,notes
plant,cilantro,Cilantro (fresh),169998,23,2.1,3.7,0.5,2.8,6748,27.0,310.0,2.50,62,67,1.77,26,521,0.50,0.3,0.15,USDA FoodData Central,Cut-and-come-again herb
plant,chia-1,Chia Seeds (dried),170554,486,16.5,42.1,30.7,34.4,54,1.6,0.0,0.50,49,631,7.72,335,407,4.58,0.2,0.1,USDA FoodData Central,Seeds harvested from mature plants
plant,bok-choy,Bok Choy (raw),169404,13,1.5,2.2,0.2,1.0,4468,45.0,45.5,0.09,66,105,0.80,19,252,0.19,2.0,0.8,USDA FoodData Central,Chinese cabbage - multiple harvests
plant,pumpkin,Pumpkin (raw),168448,26,1.0,6.5,0.1,0.5,8513,9.0,1.1,1.06,16,21,0.80,12,340,0.32,10.0,2.5,USDA FoodData Central,Large vining fruit - storage crop
plant,swiss-chard,Swiss Chard (raw),169991,19,1.8,3.7,0.2,1.6,6116,30.0,830.0,1.89,14,51,1.80,81,379,0.36,1.5,0.6,USDA FoodData Central,Multiple harvests with cut-and-come-again
plant,arugula,Arugula (raw),169387,25,2.6,3.7,0.7,1.6,2373,15.0,108.6,0.43,97,160,1.46,47,369,0.47,0.5,0.4,USDA FoodData Central,Fast-growing salad green
plant,collard-greens,Collard Greens (raw),170406,32,3.0,5.4,0.6,4.0,5019,35.3,437.1,2.26,129,232,0.47,27,213,0.21,1.5,0.6,USDA FoodData Central,Multiple harvests - cold tolerant
plant,turnip,Turnip (raw),169292,28,0.9,6.4,0.1,1.8,0,21.0,0.1,0.03,15,30,0.30,11,191,0.27,2.0,0.8,USDA FoodData Central,Root and greens both edible
plant,kohlrabi,Kohlrabi (raw),169432,27,1.7,6.2,0.1,3.6,36,62.0,0.1,0.48,16,24,0.40,19,350,0.03,1.5,0.6,USDA FoodData Central,Bulb crop - mild flavor
plant,leek,Leek (raw),169246,61,1.5,14.2,0.3,1.8,1667,12.0,47.0,0.92,64,59,2.10,28,180,0.12,1.0,0.5,USDA FoodData Central,Mild onion flavor
